subject,condition,window,start_seconds,engagement,alpha_gating,phase_organization,spatial_selectivity,asi_eeg
1,rest,0,0,0.20970914626214376,0.6579810576832125,0.3415281340778621,0.1386886731651028,0.3369767527970803
1,rest,1,2,0.442812554287554,0.5008690038388003,0.46299890940960586,0.5392089818762801,0.48647236235306
1,rest,2,4,0.4278039536002848,0.340950979600394,0.6785473734911532,0.8117571435185845,0.5647648625526042
1,rest,3,6,0.3335668658253366,0.4680004999302521,0.7540660344409261,0.5477084198788896,0.5258354550188511
1,rest,4,8,0.5939863030617054,0.17070223699866224,0.6503867989673248,0.6115290640424469,0.5066511007675348
1,rest,5,10,0.46388265396301365,0.400520995464791,0.253107360765909,0.30278660399893,0.35507440354816094
1,rest,6,12,0.44822024149814144,0.5709604878673517,0.19749430825115025,0.2897409159890605,0.37660398840142595
1,rest,7,14,0.30653204244026505,0.49615344368459136,0.3702390867376413,0.48932967888783147,0.4155635629375823
1,rest,8,16,0.2273777781108564,0.7256612247817793,0.33167190402198554,0.47826161235427467,0.44074312981722397
1,rest,9,18,0.17999211014700578,0.3857284810394608,0.11474107365765154,0.3215305864627555,0.2504980628267184
1,rest,10,20,0.34809428676907245,0.3104361632675755,0.567146678253949,0.3932623091116143,0.4047348593505528
1,rest,11,22,0.5830493194528342,0.2564955876776162,0.43318008486818765,0.5829678501133354,0.46392321052799335
1,rest,12,24,0.3967322332831875,0.5403982059338807,0.7172283778118108,0.6677853737204369,0.5805360476873289
1,rest,13,26,0.359785024690945,0.6233798444726387,0.6661944276181624,0.5082141082774391,0.5393933512647963
1,rest,14,28,0.27490361992956935,0.7281098075427569,0.5409268991270332,0.6127001373181643,0.5391601159793808
1,rest,15,30,0.592277701436906,0.5831604154658113,0.8404578503603007,0.49710087366532807,0.6282492102320866
1,rest,16,32,0.5042017179095376,0.6168106790892846,0.44361260172126593,0.40347169923387877,0.49202417448849173
1,rest,17,34,0.21841978735479906,0.30916606672390107,0.6694314072823555,0.10007947686142223,0.32427418455561946
1,rest,18,36,0.1933100203879896,0.7331906739066774,0.732175624565149,0.29578394706346234,0.48861506648081954
1,rest,19,38,0.32752112937525146,0.9836054130743,0.3667574206538424,0.38539956382111473,0.5158208817311272
1,rest,20,40,0.6565861701195612,0.9745598006292391,0.3881393039664843,0.2876451185308742,0.5767325983115398
1,rest,21,42,0.6829751501498675,0.5374554782269675,0.34464172990783204,0.547739985481149,0.528203085941454
1,rest,22,44,0.6447021239250985,0.3818228402867665,0.59678841663417,0.4776915471492219,0.5252512319988143
1,rest,23,46,0.5825052507271662,0.5982182139317799,0.4644736781026098,0.34334877279351134,0.4971364788887668
1,rest,24,48,0.4957982820904626,0.5278733144822059,0.780845711362985,0.6208096311532336,0.6063317347722217
1,rest,25,50,0.27349700839705826,0.675040318039575,0.9015259660792758,0.6913640162102458,0.6353568271815387
1,rest,26,52,0.3994916888883651,0.7239400312453991,0.6699223237865128,0.2986250059167311,0.522994762459252
1,rest,27,54,0.4519091876621175,0.605494411891317,0.2601528321290878,0.3109046227160353,0.4071152635996394
1,rest,28,56,0.4432550305357464,0.3989230736529758,0.30969200252012113,0.45869276554814115,0.4026407180642461
1,rest,29,58,0.4500198880019686,0.5006134044151436,0.735470459043841,0.4587690226033045,0.5362181935160644
1,rest,30,60,0.35590646222831107,0.39721769814039654,0.5397466266566988,0.3296787594653974,0.40563738662270094
1,rest,31,62,0.4408994612221596,0.4192264019227458,0.4194750361842866,0.31868616708757697,0.3995717666041922
1,rest,32,64,0.24733494271016657,0.09799651236744107,0.9541856123015547,0.3337808001017519,0.4083244668702286
1,rest,33,66,0.23275630948627743,0.17942514867122814,0.537509897547663,0.40745048418226576,0.33928545997185855
1,rest,34,68,0.34314153415133836,0.31934838657127085,0.7326955518330858,0.5028991263346718,0.4745211497225917
1,rest,35,70,0.4216196965538561,0.5130164245460774,0.7504383151164375,0.41942564745967115,0.5261250209190106
1,rest,36,72,0.5299714473935968,0.5032376191808242,0.2711945719033826,0.37923116512633814,0.4209087009010354
1,rest,37,74,0.7923400166856892,0.2653143490948233,0.6529195333349749,0.508697064460273,0.5548177408939401
1,rest,38,76,0.8940521362757177,0.20944512005064908,0.5702300148817755,0.41501734283176067,0.5221861535099757
1,rest,39,78,0.7995416980485046,0.09315274938579134,0.5634223244768798,0.6984762614916505,0.5386482583507065
1,rest,40,80,0.6488784064683195,0.27500949994670854,0.5959785515098954,0.6587766405047109,0.5446607746074086
1,rest,41,82,0.7094002103442372,0.5495477146714398,0.3710430020978383,0.7810257794041048,0.602754176629405
1,rest,42,84,0.7867860738689351,0.23136961574087037,0.5477153363057932,0.9439749271006965,0.6274614882540738
1,rest,43,86,0.6576064859768124,0.2250965174212926,0.6502078145657821,0.9730740782408186,0.6264962240511764
1,rest,44,88,0.6259762475602756,0.22270152887461836,0.45224673300566554,0.9122702977469043,0.5532987017968659
1,rest,45,90,0.6622761091258672,0.2432054692061833,0.44873955303265234,0.7303924613782006,0.5211533981857258
1,rest,46,92,0.3372602174197934,0.3265510040348342,0.7303723234822409,0.37701773386825127,0.4428003197012799
1,rest,47,94,0.2232299230568186,0.8556663377687027,0.18212107411835624,0.20420059356122974,0.3663044821262768
1,rest,48,96,0.6642288669979213,0.9756047949218397,0.6588016813340383,0.9739766724635043,0.818153003929326
1,rest,49,98,0.44549996884676346,0.7350746084930965,0.7615110290298592,0.5633974071337193,0.6263707533758596
1,rest,50,100,0.3112808586645747,0.48404780848617607,0.6367176783460833,0.20521609460863272,0.4093156100263667
1,rest,51,102,0.6198718946719254,0.5889707590606279,0.723553725720962,0.4796603834149409,0.603014190717114
1,rest,52,104,0.3325121872264215,0.8425874056745486,0.4476370414866219,0.4402425450809045,0.5157447948671241
1,rest,53,106,0.4599827834308249,0.9179090010600637,0.3202695319793504,0.5113000877318421,0.5523653510505203
1,rest,54,108,0.569589336719971,0.49938659558485643,0.20167586660242431,0.3977132749010764,0.41709126845208205
1,rest,55,110,0.6199753817315925,0.6659496447336738,0.47796242313157744,0.4206072633954117,0.5461236782480638
1,rest,56,112,0.6839711549944407,0.6321099788394586,0.5092588739414897,0.7344200647320016,0.6399400181268476
1,rest,57,114,0.8841439911894985,0.343842163562848,0.4115159931164457,0.2818316881195757,0.48033345899709196
1,rest,58,116,0.7250871912203752,0.7115318948240619,0.4810666660363369,0.7232524856492756,0.6602345594325124
1,rest,59,118,0.7017364643984354,0.5681293677672469,0.3098219477906228,0.5369368222365043,0.5291561505482023
1,rest,60,120,0.667803264334447,0.5998567448063659,0.29027237496117725,0.6804220100022397,0.5595885985260575
1,rest,61,122,0.5138914417501563,0.46714078222354893,0.2187038638417946,0.4719536100701506,0.4179224244714126
1,rest,62,124,0.7158606887105758,0.270558274396357,0.7978238073476799,0.7026622401734133,0.6217262526570065
1,rest,63,126,0.3940633744365624,0.3751152744321936,0.5218276018271543,0.6873299237317804,0.49458404360692265
1,rest,64,128,0.4049820648092662,0.623829402913022,0.48134936515924187,0.6460758975210953,0.5390591826006563
1,rest,65,130,0.6645916119895827,0.5761877549492442,0.7945448760954948,0.9031622193277986,0.7346216155905301
1,rest,66,132,0.7243785250206242,0.5292453828754387,0.4907411260585102,0.8355060908436404,0.6449677811995533
1,rest,67,134,0.383166672649103,0.7914517671427335,0.15879053616892794,0.38211517857207217,0.42888103863320914
1,rest,68,136,0.709952753925733,0.2086001427915504,0.29106887661255065,0.43088613086537614,0.41012697604880255
1,rest,69,138,0.8856173695335565,0.09156863480756817,0.2862373582772517,0.6967375703828678,0.49004023325031104
1,rest,70,140,0.8727499016340453,0.1337940361239791,0.1711063445965705,0.7548014927225487,0.48311294376928593
1,rest,71,142,0.8385760927760046,0.3532547779428456,0.3257711118097683,0.9465066545637637,0.6160271592730956
1,rest,72,144,0.799571035524006,0.2726052659050401,0.5272690939261443,0.9975273768433653,0.6492431930496388
1,rest,73,146,0.7411054641246096,0.2852427054063159,0.524084074767649,0.977687557314196,0.6320299504031927
1,high,0,0,0.3910981469837116,0.39234052740272796,0.20336650254998678,0.19202757360863257,0.2947081876362647
1,high,1,2,0.12308897571386684,0.6351557240537239,0.4589978273548245,0.05285472521146379,0.31752431308346973
1,high,2,4,0.18259795649361618,0.4981298493579471,0.2774803616931798,0.09719463094643879,0.26385069962279545
1,high,3,6,0.29480141522066616,0.3023208139935975,0.28454459627637274,0.19642012668176437,0.2695217380431002
1,high,4,8,0.9002554692251873,0.3413968063311807,0.29424198492611287,0.07885562953566422,0.40368747250453624
1,high,5,10,0.6625556201471949,0.5596899556104327,0.23724281392822116,0.5734154303532153,0.5082259550097661
1,high,6,12,0.40930865529211613,0.5400035995953967,0.262485498642626,0.7945424943955501,0.5015850619814222
