subject,condition,window,start_seconds,fold,probability_high,attention_af3,attention_f7,attention_f3,attention_fc5,attention_t7,attention_p7,attention_o1,attention_o2,attention_p8,attention_t8,attention_fc6,attention_f4,attention_f8,attention_af4,relay_effective_span,relay_penalty,asi_eeg,asi_projected
1,rest,0,0,3,0.3138800821692453,0.08231874940241615,0.012122810380363766,0.07394438343045541,0.059488382099323125,0.10713455738846199,0.04841764223992783,0.041889765594827044,0.06006447868288919,0.05634871490040436,0.07457178050507887,0.04996675880570773,0.0491483938451836,0.0937344645150766,0.19084911820988426,12.166667305800715,0.8589744081385166,0.3369767527970803,0.20813059157630281
1,rest,2,4,3,0.4636863458874439,0.051174636932556604,0.08649053613132954,0.10245929206968636,0.08400423786806457,0.08930255971094464,0.03969193314975925,0.04889452907320735,0.08260295970333174,0.0904378402725101,0.11970565584781173,0.041063018590646545,0.05128864216655625,0.05153152912443619,0.061352629359159055,13.218474772952629,0.9398826748425099,0.5647648625526042,0.42378246132622766
1,rest,4,8,3,0.3978639057476559,0.031347719642438154,0.2544065080141829,0.05065227692086974,0.04329830934674987,0.17269929374842397,0.023756873790837383,0.07428862167451443,0.0593090320257068,0.07193581149723578,0.08646191156819165,0.042409335776405224,0.035092611379471284,0.017190081192823774,0.037151613422148996,10.395716487294598,0.7227474220995844,0.5066511007675348,0.39823898745259717
1,rest,6,12,3,0.11831417958187535,0.059633077561950625,0.027057952979040102,0.0746391101580551,0.08591340015054329,0.04219575910184652,0.08410227532726187,0.038878699734788566,0.04842062842638108,0.06986025245137167,0.08711568814080305,0.08449046876273243,0.12215616397585201,0.07337158075504506,0.10216494247432852,13.116501855332082,0.932038604256314,0.37660398840142595,0.23679819776297886
1,rest,8,16,3,0.3558037307018593,0.09571296312966077,0.0338422544514076,0.10755055497907397,0.06754628824610312,0.02055311753202714,0.0922598552522638,0.08266888310112948,0.1184589612229093,0.0863329182228058,0.0846333619727425,0.057659953474024424,0.03882578044755473,0.04182713832173679,0.07212796964656044,12.846221552649782,0.9112478117422909,0.44074312981722397,0.30405595805588037
1,rest,10,20,3,0.18528347631039083,0.07523491543537955,0.170936812319801,0.08583653319892275,0.0880942846053166,0.07850523940315,0.06894915748525855,0.04813891011235193,0.039631633270402464,0.07208949608962616,0.07223159532351797,0.057439053819669,0.05321262903813672,0.05854380466189636,0.03115593523657092,12.8496652953334,0.9115127150256461,0.4047348593505528,0.2680079520967059
1,rest,12,24,3,0.4617923051332133,0.08008698233320535,0.13774883086758358,0.07774889894848097,0.05486135448033093,0.028699501667897802,0.02744497492041708,0.061141739052578435,0.04068047533832185,0.06090000450557381,0.06552809520388259,0.03797994423364416,0.10770416443672394,0.18089551900010006,0.03857951501125952,11.976350199708667,0.8443346307468206,0.5805360476873289,0.4538858530753058
1,rest,14,28,3,0.3884666469093327,0.15377536718608967,0.07720900078289171,0.07620432162846409,0.08402185840153527,0.014716493323657393,0.04480927418985079,0.06378842116899129,0.0631929881245994,0.06178410475050274,0.06250570557222594,0.05831343073475386,0.06617798263195411,0.07132538870566515,0.10217566279881868,12.850321313913328,0.911563177993333,0.5391601159793808,0.4024256392803809
1,rest,16,32,3,0.18371536028120056,0.03997405517157855,0.06076057827037655,0.04919557576576793,0.051993546177741795,0.1301394993656122,0.05384075488336751,0.0759890577215548,0.06725865818063832,0.036983821010847254,0.08469420070322256,0.126926245838057,0.07531399196609716,0.10116704405531446,0.04576297088982398,12.95591749213215,0.9196859609332423,0.49202417448849173,0.3540712803485054
1,rest,18,36,3,0.21986594196792278,0.047602242551996174,0.13332225055700628,0.03912747278966413,0.05050633099408547,0.1643763364998948,0.04802767528385979,0.0828611363416391,0.08277013213106163,0.08049766187346145,0.07747537530535065,0.03628052876520567,0.046726648067751474,0.050258585999886606,0.06016762283913655,12.556876089604733,0.8889904684311334,0.48861506648081954,0.35526649621614953
1,rest,20,40,3,0.5584306704329581,0.08608891025290356,0.00587527161513417,0.08154454911574105,0.04273976186028771,0.02298081076731224,0.0596489496719886,0.01675107297558307,0.04963848344074029,0.05950965420241664,0.11465373950292854,0.09744821198607191,0.04614145739024937,0.15540457415275719,0.16157455306588572,11.266031457598245,0.7896947275075573,0.5767325983115398,0.4582783891854062
1,rest,22,44,3,0.3707311489779554,0.020029505014686585,0.47314351594910975,0.02320985265422112,0.03381263610829619,0.056912644287297094,0.07481764000657036,0.08104459652539019,0.026098486074893068,0.014266582945091564,0.014397529468033894,0.07724094492747867,0.04473648917532849,0.038706589933255105,0.021582986930347832,7.080232130834026,0.4677101639103097,0.5252512319988143,0.4550947074122679
